sample_size,time_2_clusters,score_2_clusters,iteraciones_2_clusters,time_3_clusters,score_3_clusters,iteraciones_3_clusters
74,0.09711860003881156,0.28540898072407206,4,0.006239900016225874,0.2128844270576647,4
148,0.005848300002980977,0.2778835711761623,4,0.005290100001730025,0.17595649560002088,4
222,0.004520000016782433,0.2664788253347917,8,0.004921699990518391,0.14367227065953495,8
296,0.00674129999242723,0.26944008900910726,3,0.005983299983199686,0.22940954027507407,3
370,0.007132099999580532,0.2726490960232738,6,0.006158099975436926,0.20223749197328172,6
444,0.006223499949555844,0.28177727835492533,13,0.006733999995049089,0.19815544094899257,13
518,0.005933000007644296,0.2601580791355714,6,0.007016099989414215,0.11135233258942794,6
592,0.006245700002182275,0.27954509760448537,8,0.006396699987817556,0.18549083437527517,8
666,0.006696399999782443,0.26801783204014173,9,0.006523900025058538,0.1878605517527717,9
740,0.006460900011006743,0.25355776503850147,7,0.006644699955359101,0.18787169307525964,7
814,0.006988400011323392,0.25470859721123673,7,0.0073450999916531146,0.1832309988373833,7
888,0.0076765999547205865,0.2637297429813473,8,0.007463000016286969,0.18366428501579812,8
962,0.007698999950662255,0.25498866214808624,17,0.00840370001969859,0.17822769517036013,17
1036,0.008349099953193218,0.2600492733546945,6,0.008278099994640797,0.18170697091791,6
1110,0.007938300026580691,0.2591049931688588,6,0.007770400028675795,0.17970843106933096,6
1184,0.008017399988602847,0.2606082148888881,7,0.00772069999948144,0.1805233458658388,7
1258,0.008035200007725507,0.25620847188627405,8,0.008121000020764768,0.17981803937783108,8
1332,0.00849529996048659,0.260423014113476,9,0.008099700033199042,0.20491266550811196,9
1406,0.008795899979304522,0.2626770238378603,11,0.008555100008379668,0.25132808760586667,11
1480,0.008361099986359477,0.2630976491429667,14,0.00764949998119846,0.17523229920534797,14
1554,0.008354399993550032,0.2614065071214891,12,0.009042899997439235,0.18050470200430063,12
1628,0.00891759997466579,0.25917543049163666,15,0.009161700028926134,0.179460752946142,15
1702,0.009278099983930588,0.2620515242514052,19,0.009482899971771985,0.2084938077068145,19
1776,0.008217900001909584,0.2596688282447821,14,0.009169199969619513,0.18001065203612046,14
1850,0.010010499972850084,0.2600431933424032,9,0.009123399970121682,0.180450506270062,9
1924,0.009655400004703552,0.25805932804329357,9,0.009305399958975613,0.18201435789641085,9
1998,0.008807700010947883,0.262052319787951,13,0.009497699968051165,0.1812296417348952,13
2072,0.010007600008975714,0.2577875996463853,11,0.010348099982365966,0.18316802343820132,11
2146,0.009500199987087399,0.44906084431309246,4,0.009654100053012371,0.2643094072517788,4
2220,0.0102628999738954,0.25895693904816147,8,0.009513800032436848,0.18523824341793416,8
